DRCINAACC-3# show mac address-table
Legend:
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 1082     0025.b51a.00ed   dynamic  0         F      F    Po3
+ 1082     0025.b51a.00ee   dynamic  0         F      F    Po3
* 1082     0025.b51a.00ef   dynamic  0         F      F    Po3
* 1082     0025.b51a.00fc   dynamic  0         F      F    Po3
* 1082     0025.b51a.00fd   dynamic  0         F      F    Po3
* 1082     0025.b51a.00fe   dynamic  0         F      F    Po3
* 1082     0025.b51a.00ff   dynamic  0         F      F    Po3
* 1082     0025.b51b.003d   dynamic  0         F      F    Po3
+ 1084     0015.5d0b.6b09   dynamic  0         F      F    Po3
+ 1084     0015.5d0b.6b0a   dynamic  0         F      F    Po3
+ 1084     0015.5d0b.6b20   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1ceb   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1d0a   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1d17   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1d81   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1d8a   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1d98   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1ddc   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1e03   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1e06   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1e61   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1e62   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1e68   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1e8b   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1e93   dynamic  0         F      F    Po3
* 1084     001d.d8b7.1ea0   dynamic  0         F      F    Po3
+ 1084     001d.d8b7.1eb4   dynamic  0         F      F    Po3
+ 1084     0025.b51a.00af   dynamic  0         F      F    Po3
+ 1084     6c9c.ed42.61c2   dynamic  0         F      F    Po3
* 1084     6c9c.ed44.d142   dynamic  0         F      F    Po3
* 1086     0015.5d0b.6a07   dynamic  0         F      F    Po3
+ 1086     0015.5d0b.6a0c   dynamic  0         F      F    Po3
+ 1086     0015.5d0b.6b06   dynamic  0         F      F    Po3
* 1086     0015.5d0b.6b08   dynamic  0         F      F    Po3
+ 1086     0015.5d0b.6c05   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1cf2   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1cf3   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1cff   dynamic  0         F      F    Po3
