Interface                      Status         Protocol Description
Gi10/38                        down           down     *** to MBCA-LAN ***
Gi10/39                        down           down     *** to MBCA-LAN ***
Gi10/40                        down           down     *** to MBCA-LAN ***
Gi10/41                        up             up       *** to MBCA-LAN ***
Gi10/42                        down           down     *** to MBCA-LAN ***
Gi10/43                        down           down     *** to MBCA-LAN ***
Gi10/44                        up             up       *** Yosep Widyakusuma ***
Gi10/45                        up             up       *** to MBCA-LAN ***
Gi10/46                        up             up       *** to MBCA-LAN ***
Gi10/47                        up             up       *** to MBCA-LAN ***
Gi10/48                        down           down     *** to MBCA-LAN ***
Po10                           up             up       Port Channel to MBCA-LAN-D
Vl1                            admin down     down     --
Vl432                          up             up       15th_inside_dept1_10.21.32.0
Vl440                          admin down     down     15th_inside_dept2_10.21.34.0
Vl1036                         admin down     down     Management
Vl1424                         admin down     down     --
Vl1612                         admin down     down     
