          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
1286    b08d.57f0.4b06    STATIC      Gi1/0/10 
1286    b08d.57f0.4dae    STATIC      Gi1/0/31 
1286    c800.84aa.c9cf    STATIC      Gi2/0/36 
1286    d0ec.352c.84bf    STATIC      Gi2/0/43 
1286    dcce.c1d4.fca4    STATIC      Gi5/0/44 
1286    f0f7.55cd.6e52    STATIC      Gi2/0/37 
1286    f0f7.55cd.6eff    DYNAMIC     Po10
1286    f4ea.6748.75fa    STATIC      Gi1/0/1 
1286    fcfb.fb10.41c1    STATIC      Gi1/0/45 
 617    a023.9f05.aa49    DYNAMIC     Po10
1564    a023.9f05.aa49    DYNAMIC     Po10
1572    a023.9f05.aa49    DYNAMIC     Po10
Total Mac Addresses for this criterion: 375
