Interface                      Status         Protocol Description
Gi8/0/4                        down           down     *** to MBCA-LAN ***
Gi8/0/5                        down           down     *** to MBCA-LAN ***
Gi8/0/6                        down           down     *** to MBCA-LAN ***
Gi8/0/7                        down           down     *** to MBCA-LAN ***
Gi8/0/8                        down           down     *** to MBCA-LAN ***
Gi8/0/9                        down           down     *** to MBCA-LAN ***
Gi8/0/10                       down           down     *** to MBCA-LAN ***
Gi8/0/11                       down           down     *** to MBCA-LAN ***
Gi8/0/12                       down           down     *** to MBCA-LAN ***
Gi8/0/13                       down           down     *** to MBCA-LAN ***
Gi8/0/14                       up             up       *** to MBCA-LAN ***
Gi8/0/15                       down           down     *** to MBCA-LAN ***
Gi8/0/16                       up             up       *** to MBCA-LAN ***
Gi8/0/17                       down           down     *** to MBCA-LAN ***
Gi8/0/18                       up             up       *** to MBCA-LAN ***
Gi8/0/19                       up             up       *** to MBCA-LAN ***
Gi8/0/20                       up             up       *** to MBCA-LAN ***
Gi8/0/21                       down           down     *** to MBCA-LAN ***
Gi8/0/22                       up             up       *** to MBCA-LAN ***
Gi8/0/23                       up             up       *** to MBCA-LAN ***
Gi8/0/24                       up             up       *** to MBCA-LAN ***
Gi8/0/25                       down           down     *** to MBCA-LAN ***
Gi8/0/26                       down           down     *** to MBCA-LAN ***
Gi8/0/27                       up             up       *** to MBCA-LAN ***
Gi8/0/28                       down           down     *** to MBCA-LAN ***
Gi8/0/29                       down           down     *** to MBCA-LAN ***
Gi8/0/30                       up             up       *** to MBCA-LAN ***
Gi8/0/31                       down           down     *** to MBCA-LAN ***
Gi8/0/32                       up             up       *** to MBCA-LAN ***
Gi8/0/33                       up             up       *** to MBCA-LAN ***
Gi8/0/34                       down           down     *** to MBCA-LAN ***
Gi8/0/35                       down           down     *** to MBCA-LAN ***
Gi8/0/36                       down           down     *** to MBCA-LAN ***
Gi8/0/37                       up             up       *** to MBCA-LAN ***
Gi8/0/38                       down           down     *** to MBCA-LAN ***
Gi8/0/39                       up             up       *** to MBCA-LAN ***
Gi8/0/40                       up             up       *** to MBCA-LAN ***
Gi8/0/41                       up             up       *** to MBCA-LAN ***
Gi8/0/42                       up             up       *** to MBCA-LAN ***
Gi8/0/43                       up             up       *** to MBCA-LAN ***
Gi8/0/44                       up             up       *** to MBCA-LAN ***
Gi8/0/45                       up             up       *** to MBCA-LAN ***
Gi8/0/46                       up             up       *** to MBCA-LAN ***
Gi8/0/47                       up             up       *** to MBCA-LAN ***
Gi8/0/48                       down           down     *** to MBCA-LAN ***
Gi9/0/1                        up             up       *** to MBCA-LAN ***
Gi9/0/2                        up             up       *** to MBCA-LAN ***
Gi9/0/3                        up             up       *** to MBCA-LAN ***
Gi9/0/4                        up             up       *** to MBCA-LAN ***
Gi9/0/5                        up             up       *** to MBCA-LAN ***
Gi9/0/6                        down           down     *** to MBCA-LAN ***
Gi9/0/7                        up             up       *** to MBCA-LAN ***
Gi9/0/8                        up             up       *** to MBCA-LAN ***
Gi9/0/9                        up             up       *** to MBCA-LAN ***
Gi9/0/10                       down           down     *** to MBCA-LAN ***
Gi9/0/11                       down           down     *** to MBCA-LAN ***
Gi9/0/12                       down           down     *** to MBCA-LAN ***
Gi9/0/13                       up             up       *** to MBCA-LAN ***
Gi9/0/14                       up             up       *** to MBCA-LAN ***
Gi9/0/15                       up             up       *** to MBCA-LAN ***
Gi9/0/16                       up             up       *** to MBCA-LAN ***
Gi9/0/17                       up             up       *** to MBCA-LAN ***
Gi9/0/18                       up             up       *** to MBCA-LAN ***
Gi9/0/19                       up             up       *** to MBCA-LAN ***
Gi9/0/20                       down           down     *** to MBCA-LAN ***
Gi9/0/21                       down           down     *** to MBCA-LAN ***
Gi9/0/22                       up             up       *** to MBCA-LAN ***
Gi9/0/23                       down           down     *** to MBCA-LAN ***
Gi9/0/24                       down           down     *** to MBCA-LAN ***
Gi9/0/25                       down           down     *** to MBCA-LAN ***
Gi9/0/26                       up             up       *** to MBCA-LAN ***
Gi9/0/27                       up             up       *** to MBCA-LAN ***
Gi9/0/28                       up             up       *** to MBCA-LAN ***
Gi9/0/29                       down           down     *** to MBCA-LAN ***
Gi9/0/30                       up             up       *** to MBCA-LAN ***
Gi9/0/31                       up             up       *** to MBCA-LAN ***
Gi9/0/32                       down           down     *** to MBCA-LAN ***
Gi9/0/33                       down           down     *** to MBCA-LAN ***
Gi9/0/34                       down           down     *** to MBCA-LAN ***
Gi9/0/35                       down           down     *** to MBCA-LAN ***
Gi9/0/36                       down           down     *** to MBCA-LAN ***
Gi9/0/37                       down           down     *** to MBCA-LAN ***
Gi9/0/38                       down           down     *** to MBCA-LAN ***
Gi9/0/39                       down           down     *** to MBCA-LAN ***
Gi9/0/40                       down           down     *** to MBCA-LAN ***
Gi9/0/41                       down           down     *** to MBCA-LAN ***
Gi9/0/42                       down           down     *** to MBCA-LAN ***
Gi9/0/43                       down           down     *** to MBCA-LAN ***
Gi9/0/44                       down           down     *** to MBCA-LAN ***
Gi9/0/45                       down           down     *** to MBCA-LAN ***
Gi9/0/46                       up             up       *** to MBCA-LAN ***
Gi9/0/47                       up             up       *** to MBCA-LAN ***
Gi9/0/48                       down           down     *** to MBCA-LAN ***
Po10                           up             up       Port Channel to MBCA-LAN-D
