          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
1272    80e8.6f22.309e    STATIC      Gi2/0/20 
1272    88f0.7788.1c67    STATIC      Gi3/0/17 
1272    9c57.adb4.68bb    STATIC      Gi7/0/35 
1272    9c57.adb4.a2a4    STATIC      Gi1/0/26 
1272    9c57.adb4.b510    STATIC      Gi3/0/37 
1272    9c57.adb4.f931    STATIC      Gi7/0/16 
1272    9c57.adb4.f97a    STATIC      Gi3/0/11 
1272    9c57.adb4.f9a6    STATIC      Gi7/0/22 
1272    9c57.adb4.fa7c    STATIC      Gi8/0/19 
1272    a023.9f05.aa6f    DYNAMIC     Po10
1272    a418.7528.357e    STATIC      Gi3/0/22 
1272    a456.30ba.3964    STATIC      Gi3/0/40 
1272    a4b2.3949.232a    STATIC      Gi2/0/22 
1272    ac4a.5610.1086    STATIC      Gi1/0/18 
1272    ac4a.5610.4b04    STATIC      Gi2/0/12 
1272    ac4a.5610.4e9e    STATIC      Gi7/0/7 
1272    ac4a.5610.50a2    STATIC      Gi8/0/22 
1272    ac4a.5611.0014    STATIC      Gi9/0/17 
1272    ac4a.5611.04c4    STATIC      Gi1/0/16 
1272    ac4a.5611.06c2    STATIC      Gi2/0/4 
1272    ac4a.5611.070b    STATIC      Gi1/0/45 
1272    ac4a.5611.0716    STATIC      Gi1/0/32 
1272    ac4a.5611.0749    STATIC      Gi7/0/4 
1272    ac7e.8a2b.8455    STATIC      Gi1/0/36 
1272    b838.6157.1ea2    STATIC      Gi3/0/30 
1272    b838.6157.2463    STATIC      Gi3/0/45 
1272    b838.6158.7dc8    STATIC      Gi9/0/7 
1272    cc7f.7505.47c6    STATIC      Gi1/0/42 
1272    d0ec.3584.104b    STATIC      Gi7/0/11 
1272    d0ec.3584.106e    STATIC      Gi7/0/39 
1272    d0ec.3584.107e    STATIC      Gi4/0/37 
1272    d0ec.3584.10e2    STATIC      Gi9/0/9 
1272    d0ec.3584.1140    STATIC      Gi8/0/3 
1272    d0ec.3584.11b5    STATIC      Gi4/0/6 
1272    d0ec.3584.11b6    STATIC      Gi1/0/12 
1272    d0ec.3584.1214    STATIC      Gi1/0/5 
1272    d0ec.3584.1290    STATIC      Gi2/0/2 
1272    d0ec.3584.13ae    STATIC      Gi8/0/27 
1272    d0ec.3584.15f7    STATIC      Gi8/0/32 
1272    d0ec.3584.2107    STATIC      Gi9/0/27 
1272    d0ec.3584.2218    STATIC      Gi4/0/14 
1272    d867.d9a0.6215    STATIC      Gi1/0/34 
1272    d867.d9a0.80a0    STATIC      Gi9/0/1 
1272    d867.d9a0.8a16    STATIC      Gi1/0/25 
1272    d867.d9a0.8a20    STATIC      Gi9/0/16 
1272    dcce.c1d4.ee78    STATIC      Gi4/0/15 
1272    dcce.c1d4.fc53    STATIC      Gi7/0/36 
1272    dcce.c1d4.fca9    STATIC      Gi2/0/18 
1272    dcce.c1d4.fcd8    STATIC      Gi8/0/47 
1272    dcce.c1d4.fd70    STATIC      Gi8/0/41 
1272    dcce.c1d4.fd74    STATIC      Gi2/0/7 
1272    e8ba.7007.f5b6    STATIC      Gi3/0/39 
1272    ec44.761f.88d6    STATIC      Gi3/0/15 
1272    f0b2.e579.6bd3    STATIC      Gi1/0/3 
1096    0008.e3ff.fc28    DYNAMIC     Po10
1096    a023.9f05.aa6f    DYNAMIC     Po10
 617    a023.9f05.aa6f    DYNAMIC     Po10
1596    0008.e3ff.fc28    DYNAMIC     Po10
1596    a023.9f05.aa6f    DYNAMIC     Po10
Total Mac Addresses for this criterion: 387
